Date,Time,Home_Team,Away_Team,Season,Matchweek,API_Match_ID,Status
2026-08-28,12:00,Crystal Palace,Man City,2026-27,2,560555,TIMED
2026-08-29,04:30,Liverpool,Nott'm Forest,2026-27,2,560552,TIMED
2026-08-29,07:00,Bournemouth,Everton,2026-27,2,560560,TIMED
2026-08-29,07:00,Coventry City,Hull City,2026-27,2,560561,TIMED
2026-08-29,09:30,Tottenham,Newcastle,2026-27,2,560558,TIMED
2026-08-30,06:00,Sunderland,Fulham,2026-27,2,560554,TIMED
2026-08-30,06:00,Chelsea,Brighton,2026-27,2,560556,TIMED
2026-08-30,06:00,Leeds,Brentford,2026-27,2,560559,TIMED
2026-08-30,08:30,Man United,Ipswich Town,2026-27,2,560553,TIMED
2026-08-31,12:00,Aston Villa,Arsenal,2026-27,2,560557,TIMED
